EmployeId,Age,Gender,MaritalStatus,Turnover,Travelling,Vertical,Qualifications,EducationField,EmployeSatisfaction,JobEngagement,JobLevel,JobSatisfaction,Role,DailyBilling,HourBilling,MonthlyBilling,MonthlyRate,Work Experience,OverTime,PercentSalaryHike,Last Rating,RelationshipSatisfaction,Hours,StockOptionLevel,TrainingTimesLastYear,Work&Life,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,DistanceFromHome
1181,38,M,Divorced,No,Sometimes,Research & Development,3,Life Sciences,1,3,1,1,Laboratory Technician,1320,31,2301,13786,7,No,14,3,4,80,1,2,3,14,4,1,0,6
144,44,M,Single,No,Mostly,Sales,3,Technical Degree,2,3,1,4,Sales Representative,656,32,3691,25202,2,No,12,3,4,80,0,2,2,2,2,2,2,10
1211,23,M,Single,Yes,Sometimes,Research & Development,1,Life Sciences,3,1,1,4,Research Scientist,1275,66,2378,16110,1,No,18,3,3,80,0,3,3,1,0,0,1,3
722,38,M,Married,No,Mostly,Research & Development,4,Life Sciences,4,2,3,3,Manufacturing Director,107,64,4213,20153,7,No,17,3,2,80,2,1,3,10,14,1,10,1
788,44,F,Married,No,Mostly,Research & Development,4,Life Sciences,2,2,3,3,Research Director,1144,51,19522,18474,5,Yes,18,3,1,80,1,2,3,10,0,4,10,26
426,44,F,Single,No,Mostly,Research & Development,4,Medical,4,2,5,4,Healthcare Representative,531,91,17218,12066,2,No,11,3,4,80,0,6,3,1,0,0,0,22
1107,26,F,Divorced,Yes,Sometimes,Research & Development,2,Life Sciences,1,2,2,4,Manufacturing Director,911,51,2346,14211,0,No,17,3,2,80,1,2,3,5,4,1,3,1
1291,22,F,Divorced,No,Mostly,Research & Development,3,Life Sciences,3,3,1,4,Laboratory Technician,1397,73,2885,16833,1,Yes,12,3,2,80,1,3,3,0,0,0,0,2
99,29,M,Divorced,No,Mostly,Sales,5,Life Sciences,4,1,2,1,Sales Executive,371,32,5321,26365,1,No,18,3,4,80,2,3,3,16,11,5,9,2
582,29,F,Married,No,Sometimes,Sales,1,Life Sciences,2,3,1,4,Sales Representative,1433,97,8274,6784,6,Yes,16,3,4,80,2,3,3,4,2,0,2,3
1181,41,F,Married,No,Sometimes,Human Resources,3,Marketing,4,2,2,2,Sales Executive,111,31,5350,17731,3,Yes,21,4,3,80,2,3,2,3,2,2,2,21
1852,34,F,Divorced,No,Sometimes,Research & Development,3,Technical Degree,3,2,2,3,Research Scientist,1328,43,5520,9984,6,No,11,3,1,80,1,0,3,5,1,1,2,8
1831,48,F,Married,No,No,Research & Development,3,Life Sciences,2,3,1,1,Research Scientist,111,97,2213,21462,9,No,13,3,3,80,3,4,3,5,1,0,3,10
1173,31,F,Divorced,No,Mostly,Sales,3,Technical Degree,3,3,2,1,Sales Executive,613,41,4338,11498,4,No,16,3,4,80,1,3,2,8,4,3,1,3
1366,36,F,Single,Yes,Sometimes,Sales,3,Life Sciences,3,4,3,3,Healthcare Representative,109,73,13411,21758,0,No,14,3,1,80,0,5,3,14,4,0,7,3
1405,55,M,Married,No,Sometimes,Research & Development,4,Life Sciences,3,3,4,2,Research Director,130,55,17226,19506,3,Yes,18,3,3,80,1,2,3,14,13,3,11,8
1457,49,F,Married,No,Sometimes,Research & Development,5,Medical,4,3,2,2,Manufacturing Director,227,49,5605,2243,1,No,23,4,4,80,2,2,3,10,7,15,16,7
157,43,F,Married,No,Sometimes,Research & Development,3,Medical,3,3,3,3,Research Director,964,47,10417,12387,2,No,14,3,1,80,1,1,1,1,4,0,0,15
552,28,F,Married,No,Sometimes,Research & Development,3,Medical,1,3,1,1,Research Scientist,831,49,4994,24115,1,No,14,3,3,80,1,2,3,5,4,0,3,15
1236,30,F,Single,No,Sometimes,Research & Development,1,Technical Degree,4,1,1,4,Laboratory Technician,503,85,3502,17932,8,Yes,17,3,2,80,0,3,4,2,2,2,2,2
1983,44,M,Divorced,No,Sometimes,Research & Development,3,Medical,2,4,2,1,Healthcare Representative,567,93,6247,23421,0,Yes,12,3,3,80,2,3,2,15,4,2,12,8
465,59,M,Divorced,No,No,Research & Development,2,Medical,2,3,2,3,Manufacturing Director,571,44,6993,5748,9,Yes,14,3,4,80,2,2,3,6,4,1,2,19
242,37,M,Divorced,No,No,Research & Development,4,Life Sciences,4,1,1,4,Research Scientist,586,41,2876,23877,3,No,12,3,2,80,3,1,3,8,7,0,0,4
1511,26,M,Married,No,Sometimes,Research & Development,1,Medical,2,3,1,2,Research Scientist,1158,39,2674,17722,1,No,11,3,1,80,2,3,3,2,2,2,2,1
1263,34,F,Married,No,Mostly,Research & Development,1,Life Sciences,4,1,4,1,Manager,221,44,18327,20859,4,No,14,3,3,80,1,3,3,21,9,11,11,28
1348,18,F,Married,No,Sometimes,Sales,2,Marketing,2,3,2,4,Sales Executive,1255,62,4377,10759,9,No,12,3,4,80,1,2,3,7,7,7,2,2
732,43,M,Single,No,Sometimes,Research & Development,3,Medical,3,4,1,4,Laboratory Technician,863,73,2268,15781,8,No,12,3,2,80,0,2,3,2,2,0,2,1
1069,29,M,Divorced,No,No,Sales,3,Medical,4,4,1,2,Sales Representative,616,57,1370,23238,1,No,23,4,3,80,1,2,3,1,0,0,0,17
910,31,M,Single,No,Sometimes,Sales,3,Medical,3,3,2,2,Sales Executive,830,30,6285,17656,6,No,14,3,2,80,0,3,3,1,0,0,0,3
2060,38,M,Married,No,Sometimes,Research & Development,3,Life Sciences,1,3,1,1,Laboratory Technician,516,60,3887,16770,0,No,18,3,3,80,2,4,3,1,0,0,0,1
182,29,M,Divorced,No,Mostly,Research & Development,3,Medical,4,2,1,3,Research Scientist,1490,32,3400,17542,1,No,23,4,3,80,3,5,2,3,2,0,2,2
1679,42,F,Married,No,Sometimes,Research & Development,4,Other,2,3,3,1,Healthcare Representative,575,81,8940,15520,2,No,12,3,3,80,1,2,3,6,4,2,2,14
553,43,F,Married,No,Sometimes,Research & Development,3,Life Sciences,4,4,3,4,Research Director,652,70,10599,3142,3,No,16,3,1,80,1,3,3,9,0,0,0,23
1589,34,F,Married,No,Mostly,Research & Development,4,Life Sciences,4,4,3,3,Manufacturing Director,996,80,9095,2137,2,No,13,3,3,80,1,2,3,6,3,0,2,24
821,25,M,Single,Yes,Sometimes,Research & Development,3,Life Sciences,1,3,1,3,Research Scientist,893,64,2193,26933,1,Yes,11,3,1,80,0,6,4,5,7,1,2,10
1150,23,M,Single,No,Sometimes,Research & Development,1,Life Sciences,1,1,1,3,Research Scientist,120,90,2064,25031,1,No,24,4,2,80,0,2,2,6,4,1,4,16
388,44,M,Married,No,Sometimes,Sales,4,Marketing,2,3,2,1,Sales Executive,237,76,4691,3203,4,No,11,3,4,80,1,5,3,3,2,1,2,9
1901,35,M,Married,No,Sometimes,Sales,2,Marketing,4,3,3,1,Sales Executive,400,40,9280,22013,4,No,25,4,1,80,2,3,3,0,0,0,0,19
1036,31,M,Divorced,No,Sometimes,Sales,3,Life Sciences,1,1,3,4,Sales Executive,211,90,2313,14904,3,No,11,3,3,80,1,2,2,0,0,0,8,6
303,24,M,Single,Yes,Mostly,Research & Development,4,Life Sciences,3,2,1,4,Research Scientist,464,62,2650,26933,1,Yes,23,4,2,80,0,2,4,9,0,0,0,15
925,31,F,Married,No,Sometimes,Sales,1,Medical,3,3,2,3,Sales Executive,315,93,4292,26862,3,No,18,3,4,80,1,5,4,6,4,0,2,6
1281,31,M,Divorced,Yes,No,Research & Development,4,Life Sciences,1,3,2,3,Manufacturing Director,117,75,5800,12483,1,No,12,3,4,80,1,0,2,11,6,0,10,1
599,36,M,Single,No,No,Sales,2,Marketing,4,3,3,4,Sales Executive,886,84,7730,25418,0,No,20,4,4,80,0,2,3,18,7,4,7,3
813,29,F,Married,Yes,Sometimes,Research & Development,1,Technical Degree,1,1,1,1,Laboratory Technician,700,45,2514,2125,1,No,22,4,3,80,1,6,3,1,0,0,0,10
754,18,F,Single,No,Sometimes,Sales,5,Marketing,3,3,1,2,Sales Representative,1495,58,4879,26933,1,Yes,12,3,1,80,0,2,3,3,3,2,1,9
1203,35,M,Married,Yes,Sometimes,Sales,3,Life Sciences,2,1,2,3,Sales Executive,349,96,6047,16586,7,No,17,3,3,80,0,4,3,4,2,0,1,2
1760,24,F,Married,Yes,Sometimes,Research & Development,2,Life Sciences,2,3,1,3,Laboratory Technician,415,55,3474,17804,0,No,13,3,3,80,3,2,3,2,2,2,2,13
1220,25,M,Married,No,Sometimes,Research & Development,2,Life Sciences,3,3,3,4,Manufacturing Director,948,91,10729,15172,1,No,23,4,2,80,2,3,3,18,9,0,9,7
1075,38,F,Divorced,No,Sometimes,Research & Development,4,Medical,3,3,1,4,Research Scientist,534,55,3878,19302,4,Yes,12,3,3,80,1,3,3,2,4,2,2,1
2054,52,M,Married,No,Mostly,Sales,3,Medical,3,3,4,3,Manager,126,96,19271,15740,2,No,14,3,4,80,3,4,2,32,9,8,10,21
306,35,F,Single,No,Sometimes,Research & Development,3,Technical Degree,2,3,3,1,Sales Executive,1112,94,7362,11309,1,Yes,11,3,2,80,0,2,3,18,13,4,16,15
1382,37,M,Single,No,Sometimes,Research & Development,1,Life Sciences,3,3,2,4,Laboratory Technician,266,72,3107,22582,4,No,11,3,3,80,0,3,3,10,9,0,8,7
1043,32,M,Married,Yes,Mostly,Sales,3,Human Resources,2,4,1,2,Sales Representative,438,73,2311,8932,4,Yes,18,3,2,80,0,4,1,5,3,1,4,17
645,18,M,Divorced,No,Mostly,Research & Development,2,Life Sciences,3,3,1,3,Research Scientist,480,54,2071,26933,1,No,11,3,3,80,1,0,3,4,1,1,2,8
1745,50,F,Single,Yes,Sometimes,Research & Development,3,Medical,4,2,1,3,Laboratory Technician,517,40,2672,15065,0,No,13,3,4,80,0,6,3,3,2,2,0,19
1915,45,M,Married,Yes,No,Research & Development,4,Technical Degree,3,1,1,1,Laboratory Technician,1381,75,2393,21164,5,Yes,19,3,4,80,0,3,3,2,2,3,2,12
1947,28,F,Married,No,Sometimes,Research & Development,3,Life Sciences,1,2,1,4,Research Scientist,417,88,2275,17622,1,Yes,11,3,2,80,2,1,3,8,2,0,0,21
1587,37,F,Divorced,No,Mostly,Research & Development,3,Technical Degree,3,3,2,4,Laboratory Technician,926,44,4842,14314,1,No,17,3,4,80,2,5,3,10,7,9,7,4
1277,28,M,Married,No,Sometimes,Research & Development,2,Medical,3,3,1,2,Research Scientist,940,72,2640,22288,1,No,11,3,3,80,1,2,2,2,2,2,2,9
1343,33,M,Divorced,No,Sometimes,Research & Development,4,Medical,3,1,3,2,Manufacturing Director,537,58,10217,22465,9,No,24,4,4,80,1,5,2,7,7,4,7,6
96,31,M,Divorced,No,Sometimes,Research & Development,3,Medical,1,3,1,2,Research Scientist,699,61,2376,6983,4,No,14,3,4,80,1,4,3,4,2,1,2,9
1801,28,M,Divorced,No,Sometimes,Research & Development,3,Medical,4,3,1,3,Research Scientist,1081,96,2423,24376,4,No,12,3,3,80,1,2,2,5,2,2,2,1
1555,50,F,Divorced,No,Sometimes,Human Resources,3,Medical,3,3,4,1,Manager,628,57,10998,3588,3,No,21,4,1,80,1,3,3,4,2,2,2,26
576,30,M,Divorced,No,Sometimes,Sales,4,Life Sciences,1,3,2,2,Sales Executive,1095,87,6605,2629,1,No,12,3,4,80,1,3,3,5,4,0,4,1
1680,51,M,Single,Yes,Mostly,Research & Development,1,Medical,3,3,3,1,Research Director,1203,55,10096,8245,6,No,25,4,2,80,0,0,2,2,6,7,7,1
1437,26,M,Single,Yes,Mostly,Research & Development,2,Life Sciences,3,2,1,4,Research Scientist,1341,68,4270,7802,0,No,21,4,4,80,0,3,3,5,2,1,2,1
542,29,M,Single,No,Sometimes,Research & Development,1,Medical,1,4,1,3,Research Scientist,249,93,2320,3158,1,No,13,3,2,80,0,6,3,6,4,0,2,10
354,51,M,Married,No,Mostly,Research & Development,4,Life Sciences,3,3,1,1,Laboratory Technician,142,60,2056,17325,2,Yes,19,3,2,80,0,3,4,8,7,0,3,5
936,54,M,Married,No,Sometimes,Research & Development,4,Life Sciences,2,3,4,4,Manager,147,93,16616,25213,4,Yes,11,3,1,80,1,5,3,4,3,1,3,29
160,40,M,Single,No,Sometimes,Sales,4,Marketing,2,3,2,2,Sales Executive,107,63,5348,22777,8,No,12,3,4,80,0,1,3,10,1,1,8,6
656,36,F,Married,No,Sometimes,Sales,4,Life Sciences,3,3,2,1,Sales Executive,917,45,5477,14662,1,No,21,4,1,80,1,2,3,16,8,5,7,1
1708,33,F,Married,No,Sometimes,Sales,2,Medical,4,3,4,1,Sales Executive,518,67,19845,22716,7,No,23,4,3,80,1,4,3,8,7,7,7,5
1044,53,M,Divorced,No,Sometimes,Research & Development,3,Medical,2,3,4,1,Research Director,1388,66,15603,22134,7,Yes,14,3,4,80,1,1,4,25,4,10,13,26
561,42,F,Married,No,Mostly,Sales,4,Life Sciences,2,4,3,2,Manager,1047,81,19567,2125,3,Yes,14,3,2,80,1,3,3,8,7,7,14,15
974,27,F,Married,No,Mostly,Sales,2,Medical,4,2,1,1,Sales Representative,1200,81,2098,20303,1,No,14,3,1,80,0,1,3,5,3,0,3,1
1551,27,M,Married,No,Sometimes,Research & Development,1,Life Sciences,3,3,1,3,Research Scientist,131,50,2723,7973,1,Yes,13,3,4,80,1,2,3,2,2,2,2,15
666,37,F,Divorced,No,Sometimes,Research & Development,2,Life Sciences,4,3,3,2,Healthcare Representative,645,77,7705,18901,1,No,12,3,4,80,1,6,3,16,8,5,8,8
1054,32,M,Single,No,Mostly,Sales,4,Life Sciences,4,2,2,4,Sales Executive,999,94,4439,18633,1,Yes,19,3,1,80,0,2,3,5,3,0,3,6
1915,45,M,Married,No,Sometimes,Research & Development,1,Life Sciences,1,4,4,2,Manager,1492,51,19717,2174,4,No,20,4,3,80,1,2,3,10,9,11,1,18
1369,26,F,Single,Yes,Sometimes,Sales,4,Medical,4,3,2,1,Sales Executive,330,39,4312,24482,8,Yes,17,3,3,80,0,6,3,3,2,1,1,6
1654,37,M,Married,No,Sometimes,Sales,2,Medical,3,3,1,4,Sales Representative,309,76,2005,9379,1,No,22,4,2,80,0,2,3,3,1,0,2,2
1433,48,F,Divorced,No,Sometimes,Research & Development,2,Medical,4,3,3,2,Healthcare Representative,111,78,10186,15938,4,No,11,3,2,80,1,2,3,13,12,1,2,9
2020,50,M,Divorced,No,No,Human Resources,4,Life Sciences,3,3,4,2,Research Director,546,87,18121,26862,4,No,11,3,3,80,1,2,3,3,1,1,2,8
1865,46,M,Married,No,No,Sales,4,Marketing,4,3,2,2,Sales Executive,134,64,4866,24079,9,No,18,3,3,80,2,2,3,8,7,7,7,23
1639,26,F,Married,No,Mostly,Research & Development,3,Medical,1,1,1,4,Laboratory Technician,989,30,2839,21285,0,No,14,3,3,80,1,6,2,5,3,1,2,2
1440,37,M,Married,No,Sometimes,Research & Development,3,Life Sciences,2,2,1,2,Laboratory Technician,1391,75,5620,19581,3,Yes,22,4,4,80,1,1,3,11,8,8,8,6
995,27,F,Single,No,Sometimes,Research & Development,3,Medical,4,1,1,2,Sales Representative,1316,92,3412,8751,1,No,12,3,2,80,0,2,4,5,3,1,4,9
849,40,M,Single,No,No,Research & Development,3,Life Sciences,3,3,1,3,Research Scientist,541,73,2109,12341,5,No,24,4,1,80,0,3,3,3,1,2,0,4
1657,55,M,Married,No,Sometimes,Research & Development,4,Other,3,3,5,4,Research Director,602,30,19499,2137,9,Yes,25,4,3,80,1,2,4,22,9,13,12,1
859,30,F,Divorced,Yes,Sometimes,Research & Development,3,Medical,4,2,1,2,Research Scientist,1335,87,2796,14557,0,Yes,17,3,3,80,3,2,2,1,0,0,0,5
837,27,M,Single,Yes,Sometimes,Human Resources,3,Human Resources,4,4,1,1,Human Resources,1425,44,1118,13723,0,No,11,3,4,80,0,2,3,0,0,1,0,19
772,34,F,Married,No,Sometimes,Research & Development,4,Life Sciences,3,3,3,4,Manufacturing Director,125,97,6411,5463,3,Yes,21,4,3,80,0,2,3,4,3,0,2,6
1497,36,F,Married,No,Sometimes,Research & Development,2,Life Sciences,1,2,2,4,Laboratory Technician,1338,83,5863,22891,3,No,12,3,4,80,1,2,2,4,2,1,2,5
308,34,M,Divorced,No,No,Research & Development,4,Life Sciences,2,2,2,1,Research Scientist,1492,76,4945,13052,2,No,25,4,3,80,1,3,3,5,3,1,0,2
1393,31,M,Single,No,Sometimes,Research & Development,2,Medical,2,2,1,3,Research Scientist,682,83,4593,18231,1,No,11,3,4,80,0,3,3,0,7,0,3,23
1475,45,F,Divorced,No,Sometimes,Sales,5,Other,3,2,4,4,Manager,1152,62,16183,20258,3,No,11,3,3,80,1,5,3,9,0,0,8,2
2054,34,F,Married,No,Sometimes,Research & Development,3,Technical Degree,1,4,2,3,Healthcare Representative,111,51,4564,14657,0,No,11,3,4,80,1,2,2,14,7,1,8,3
537,40,F,Divorced,No,Sometimes,Research & Development,1,Medical,1,3,2,2,Manufacturing Director,689,57,4142,17598,1,No,20,4,3,80,1,3,3,13,9,4,4,1
1435,35,M,Married,No,Sometimes,Research & Development,2,Medical,1,4,1,3,Research Scientist,1239,37,1118,5577,2,No,13,3,3,80,1,3,3,1,0,0,0,8
123,35,M,Divorced,No,Mostly,Sales,1,Life Sciences,3,3,1,2,Sales Representative,209,71,2460,9268,4,No,13,3,4,80,2,6,3,1,0,0,0,6
1150,38,M,Married,No,Sometimes,Sales,3,Medical,3,2,1,4,Sales Representative,1194,73,2371,8685,1,No,11,3,2,80,3,2,2,4,2,0,2,1
42,34,F,Married,No,Mostly,Research & Development,3,Medical,3,3,2,1,Laboratory Technician,744,42,3182,24634,1,No,13,3,2,80,1,2,4,10,7,6,7,11
1240,35,M,Single,No,No,Sales,1,Medical,4,3,1,1,Sales Representative,1281,51,2705,6850,6,No,14,3,3,80,0,1,3,4,3,1,3,1
111,35,M,Divorced,No,Sometimes,Sales,1,Marketing,1,3,2,3,Sales Executive,319,36,5704,4292,4,No,18,3,1,80,2,1,4,2,2,2,3,1
1193,34,M,Single,No,No,Research & Development,3,Technical Degree,3,1,3,2,Research Director,796,62,13177,23656,0,Yes,23,4,1,80,0,5,4,15,6,1,13,1
1541,35,M,Married,No,Sometimes,Research & Development,3,Life Sciences,3,3,2,3,Healthcare Representative,518,96,4281,15482,3,No,20,4,1,80,1,3,3,17,7,0,7,6
693,21,F,Single,No,Sometimes,Sales,3,Life Sciences,4,2,1,1,Sales Representative,984,68,2587,9711,6,No,20,4,2,80,0,3,3,5,3,1,2,9
744,34,F,Married,No,No,Research & Development,5,Life Sciences,1,3,3,4,Manufacturing Director,1150,94,7938,23825,4,No,18,3,2,80,3,2,3,9,0,0,0,15
1327,39,F,Married,No,Sometimes,Research & Development,2,Life Sciences,1,3,2,2,Healthcare Representative,1321,64,8884,8608,1,No,25,4,3,80,1,3,3,9,4,0,7,3
707,43,F,Married,No,Mostly,Research & Development,4,Medical,3,3,2,2,Research Director,865,97,7633,17211,1,No,14,3,4,80,1,6,3,5,2,0,3,4
12,31,M,Single,No,No,Research & Development,4,Life Sciences,4,3,3,3,Research Director,561,73,19403,23722,5,No,12,3,2,80,0,2,3,2,2,2,2,21
1279,43,M,Divorced,No,Mostly,Research & Development,2,Life Sciences,3,3,4,1,Healthcare Representative,1471,40,10408,23674,7,No,13,3,3,80,1,5,4,9,7,0,0,15
2057,50,M,Married,No,Sometimes,Sales,3,Human Resources,4,3,3,4,Sales Executive,363,73,3929,20147,1,Yes,14,3,3,80,1,3,3,10,1,8,8,14
1104,45,M,Divorced,No,Sometimes,Research & Development,3,Medical,3,3,2,4,Healthcare Representative,919,68,6767,2125,3,No,23,4,1,80,1,2,3,9,3,9,0,2
1787,41,M,Married,Yes,Sometimes,Research & Development,3,Life Sciences,1,3,1,2,Research Scientist,1450,53,3177,18789,3,Yes,12,3,4,80,0,2,2,2,2,2,2,8
1405,29,F,Single,No,Sometimes,Research & Development,3,Medical,4,4,1,3,Laboratory Technician,498,94,2239,8092,1,Yes,13,3,3,80,0,3,3,8,2,0,1,18
498,29,F,Single,Yes,Sometimes,Research & Development,3,Life Sciences,1,4,1,1,Research Scientist,535,87,3305,19991,3,Yes,14,3,1,80,0,3,2,0,0,0,6,1
1346,41,M,Divorced,No,Sometimes,Sales,4,Marketing,2,3,1,1,Sales Representative,796,60,2737,2344,8,Yes,13,3,1,80,3,2,3,2,2,2,2,8
431,46,F,Single,Yes,Mostly,Sales,2,Other,4,4,2,1,Sales Executive,1306,52,4596,12290,3,Yes,14,3,1,80,0,3,3,8,4,7,7,1
1893,24,F,Married,No,Mostly,Sales,3,Life Sciences,4,3,2,2,Sales Executive,1152,77,8208,14155,2,No,14,3,3,80,1,2,3,2,2,2,2,1
825,38,M,Divorced,No,Sometimes,Research & Development,4,Life Sciences,1,2,2,1,Manufacturing Director,1338,45,5383,2664,1,No,16,3,2,80,2,3,3,14,11,5,12,7
775,31,F,Married,Yes,Sometimes,Sales,1,Life Sciences,3,3,1,1,Sales Representative,212,42,3164,15087,3,Yes,23,4,3,80,3,2,4,1,0,0,0,17
2054,35,F,Married,No,No,Sales,2,Life Sciences,2,4,3,4,Sales Executive,580,62,5264,24995,1,No,11,3,1,80,2,3,2,15,7,4,4,10
994,25,F,Single,No,Sometimes,Sales,3,Marketing,2,3,1,4,Sales Representative,586,73,2890,16903,1,No,18,3,3,80,0,3,2,1,0,0,4,26
505,37,F,Married,No,Sometimes,Research & Development,2,Medical,2,2,2,4,Research Scientist,144,40,2753,14897,4,No,12,3,3,80,1,3,2,1,0,0,0,1
600,51,F,Divorced,No,Mostly,Research & Development,3,Life Sciences,1,3,2,1,Manufacturing Director,926,79,5497,26633,7,Yes,17,3,1,80,1,6,3,10,6,3,10,1
68,31,M,Married,No,Sometimes,Human Resources,1,Medical,2,3,1,4,Human Resources,1020,90,2403,14157,1,No,13,3,3,80,1,5,2,6,2,0,2,1
1503,58,M,Married,No,Sometimes,Research & Development,4,Life Sciences,2,3,1,1,Laboratory Technician,714,86,3694,17801,0,No,18,3,4,80,1,5,3,9,3,0,2,4
140,42,F,Married,No,Sometimes,Sales,2,Marketing,4,3,2,4,Sales Executive,138,75,4732,14050,4,No,15,3,3,80,3,5,3,2,2,1,2,24
201,31,F,Single,No,No,Research & Development,3,Medical,4,2,1,2,Laboratory Technician,418,73,3047,26174,3,No,12,3,4,80,0,2,2,8,4,0,9,5
658,35,F,Single,No,Sometimes,Sales,2,Life Sciences,1,4,2,3,Sales Executive,368,55,9608,13079,1,No,25,4,4,80,0,0,3,5,3,0,1,8
585,51,M,Married,No,Sometimes,Research & Development,3,Life Sciences,1,2,4,3,Research Director,122,44,19301,7522,3,Yes,12,3,2,80,0,1,3,9,0,2,0,2
1074,46,M,Married,No,Sometimes,Sales,2,Marketing,3,4,2,4,Sales Executive,824,69,6375,24002,1,Yes,19,3,2,80,0,3,4,7,7,0,7,2
1164,29,F,Single,Yes,Sometimes,Research & Development,2,Other,4,3,1,2,Laboratory Technician,594,69,1169,25752,1,Yes,11,3,3,80,0,2,3,1,0,0,0,5
2057,37,M,Married,No,Sometimes,Research & Development,3,Life Sciences,4,3,1,2,Laboratory Technician,787,70,2956,17022,1,No,14,3,4,80,3,2,3,1,4,0,1,26
1458,27,M,Single,No,Sometimes,Research & Development,3,Other,3,3,1,3,Research Scientist,450,97,2601,12584,0,No,16,3,2,80,0,2,2,3,2,0,4,26
823,46,F,Single,No,Sometimes,Research & Development,3,Life Sciences,1,2,1,2,Research Scientist,289,65,3376,20836,5,No,16,3,3,80,0,2,3,5,1,0,8,2
258,41,M,Single,Yes,Mostly,Sales,2,Marketing,1,3,1,3,Sales Representative,343,100,2918,5928,1,No,13,3,3,80,0,3,3,1,0,0,0,4
46,44,F,Divorced,No,Mostly,Research & Development,4,Life Sciences,1,3,1,2,Laboratory Technician,1261,97,2842,17394,6,No,13,3,2,80,1,4,3,4,4,5,3,9
1721,33,M,Married,No,No,Research & Development,1,Medical,3,3,2,4,Healthcare Representative,815,31,8918,24271,8,Yes,13,3,4,80,2,3,3,1,0,0,0,2
259,58,F,Single,No,Sometimes,Research & Development,4,Medical,1,3,2,1,Manufacturing Director,1232,70,5575,24822,9,No,20,4,1,80,0,3,3,4,4,1,1,3
1266,42,F,Single,No,Sometimes,Research & Development,2,Medical,2,3,3,4,Research Director,136,53,17581,16611,4,No,16,3,2,80,1,2,3,1,0,0,0,10
1408,29,F,Single,Yes,Sometimes,Research & Development,3,Medical,3,2,1,4,Research Scientist,811,86,2835,2243,7,Yes,23,4,1,80,0,4,3,2,2,1,2,1
1459,44,M,Divorced,No,Sometimes,Research & Development,2,Medical,3,3,4,3,Research Director,469,75,18412,16275,9,No,21,4,3,80,3,6,2,10,8,5,7,29
1786,57,F,Single,Yes,No,Sales,3,Marketing,1,2,1,4,Sales Representative,1470,56,2102,20380,2,No,18,3,3,80,0,3,2,4,2,0,0,2
1379,37,F,Married,No,Mostly,Research & Development,3,Life Sciences,2,3,2,3,Manufacturing Director,487,90,6884,19010,1,Yes,12,3,1,80,3,3,2,17,16,13,7,15
