employee_id,department,sub-department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,gender,sexual_orientation,race,age,education,location,location_city,marital_status,employment_status,salary,hire_date,term_date,tenure,term_type,term_reason,active_status
1998750033,Sales,Business Development,6894789411,587062289,4716674933,,Individual Contributor,Female,Heterosexual,Caucasian,44,Bachelor's degree,Remote,Boston,Single,Full Time,79455,2020-05-08,,32,,,1
1113678893,Sales,Account Management,690589021,7653176029,9761636372,,Individual Contributor,Male,Heterosexual,Caucasian,25,Master's degree,Remote,Columbus,Single,Full Time,65627,2016-01-26,2016-10-31,9,Involuntary,Performance,0
6684129269,Software,QA,2740827756,1696261601,,,Team Lead,Male,Heterosexual,African American,37,Bachelor's degree,On-site,San Francisco,Single,Full Time,84289,2014-10-30,,100,,,1
309480408,Administration,Executive Assistants,8718689691,4191660438,,,Team Lead,Male,Heterosexual,Asian,31,Master's degree,Remote,San Diego,Single,Full Time,82336,2016-04-30,,81,,,1
4676504966,Software,QA,7606875424,2347665958,4520267703,,Individual Contributor,Female,Heterosexual,African American,23,Bachelor's degree,Remote,Phoenix,Single,Full Time,87032,2017-03-11,,71,,,1
1855416469,Customer Service,Account Management,8780882161,,,,Manager,Male,Heterosexual,Caucasian,21,None,Remote,Chicago,Single,Full Time,69932,2016-08-15,2017-09-09,13,Voluntary,Better salary,0
70068051,Finance,Auditing,7071815251,7814216928,3578501127,,Individual Contributor,Female,Heterosexual,Caucasian,36,Bachelor's degree,Remote,Washington DC,Married,Full Time,73207,2013-07-02,,116,,,1
3551477432,Customer Service,Account Management,6444429844,3085239374,3287697715,,Individual Contributor,Female,Heterosexual,Caucasian,35,Bachelor's degree,Remote,Dallas,Single,Full Time,70892,2014-01-17,,109,,,1
6901661183,Marketing,Marketing Research,9066182128,2483570358,3903624224,,Individual Contributor,Female,Heterosexual,Caucasian,38,Master's degree,Remote,Charlotte,Single,Full Time,76377,2017-01-11,,73,,,1
5270603589,Procurement,Vendor Management,1337450074,461150425,5427032276,,Individual Contributor,Female,Heterosexual,Caucasian,23,Bachelor's degree,Remote,Charlotte,Single,Full Time,75484,2019-01-29,2019-12-24,11,Voluntary,More flexible benefits,0
1925022017,Finance,Financial Planning,9942141272,7369554620,4168425408,,Individual Contributor,Female,Heterosexual,Caucasian,37,Bachelor's degree,On-site,Dallas,Single,Full Time,96311,2021-08-24,,17,,,1
686125559,Operations,Supply Chain,441147170,764271795,8202224131,,Individual Contributor,Male,Heterosexual,Caucasian,40,Bachelor's degree,On-site,Los Angeles,Single,Full Time,88174,2017-04-18,,70,,,1
6608504776,Procurement,Supply Chain,5427032276,,,,Manager,Female,Heterosexual,Caucasian,34,None,On-site,Dallas,Single,Full Time,86744,2020-12-14,,25,,,1
4344016059,Software,QA,4810642413,9973388375,14845113,,Individual Contributor,Male,Heterosexual,Caucasian,27,Bachelor's degree,Remote,Boston,Married,Full Time,106905,2016-08-25,,77,,,1
1769266396,Sales,Account Management,9072730468,,,,Manager,Male,Heterosexual,Caucasian,54,Bachelor's degree,Remote,Seattle,Married,Full Time,75682,2017-01-30,,72,,,1
5840654171,Software,Technical Support,9231016970,5044714263,,,Team Lead,Male,Heterosexual,Native American,40,Bachelor's degree,Remote,San Diego,Single,Full Time,79214,2015-05-11,,93,,,1
6911823024,HR,Benefits,3990298115,3829573950,6814563713,,Individual Contributor,Female,Heterosexual,Caucasian,54,Bachelor's degree,Remote,Washington DC,Married,Full Time,69934,2020-03-10,2021-01-22,11,Voluntary,Better salary,0
2217011606,Procurement,Supply Chain,2575449602,,,,Manager,Female,Heterosexual,Caucasian,24,Bachelor's degree,Remote,Jacksonville,Married,Full Time,69050,2021-01-15,2021-10-24,9,Voluntary,Better salary,0
1130325374,Marketing,Marketing Research,5188513021,3541248165,7865133164,,Individual Contributor,Male,Heterosexual,Caucasian,30,Bachelor's degree,Remote,San Antonio,Single,Full Time,95920,2014-09-06,,101,,,1
2999848916,Software,Software Development,5303520899,1829745728,2491421916,,Individual Contributor,Female,Heterosexual,Caucasian,31,Bachelor's degree,Remote,Philadelphia,Single,Full Time,81437,2018-09-10,2020-10-10,25,Voluntary,More flexible benefits,0
7301812281,Marketing,Marketing Research,1947588662,9784121313,2991764088,,Individual Contributor,Male,Heterosexual,Caucasian,61,Bachelor's degree,On-site,San Francisco,Married,Full Time,72142,2017-06-28,,67,,,1
7531817354,Software,Software Development,7392617803,5888511608,14845113,,Individual Contributor,Male,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Houston,Single,Full Time,107657,2012-06-15,,129,,,1
7996858144,Finance,Accounting,7851703952,6849414491,588611735,,Individual Contributor,Female,Heterosexual,Caucasian,32,Bachelor's degree,Remote,San Antonio,Married,Full Time,97535,2018-03-04,,59,,,1
9573966763,HR,Recruiting,8815046848,6291425076,7995036334,,Individual Contributor,Female,Heterosexual,Caucasian,36,Bachelor's degree,Remote,Phoenix,Single,Full Time,68738,2018-07-07,,55,,,1
7722619438,Product Development,Product Management,2425229769,,,,Manager,Male,Heterosexual,Caucasian,32,Bachelor's degree,Remote,Charlotte,Single,Full Time,119574,2012-12-01,,123,,,1
9269489367,Operations,Logistics,1306271597,3308581178,663543865,,Individual Contributor,Female,Heterosexual,Caucasian,23,Bachelor's degree,Remote,Austin,Single,Full Time,86192,2012-02-18,2014-01-28,24,Voluntary,Found a better opportunity,0
8592217981,Administration,Facilities,2027978747,5188666276,4191660438,,Individual Contributor,Male,Heterosexual,Caucasian,34,Bachelor's degree,Remote,San Francisco,Single,Full Time,78634,2013-01-31,,121,,,1
3872202232,HR,Benefits,2001735877,5079765737,8645953426,,Individual Contributor,Male,Heterosexual,Asian,29,Associate's degree,Remote,Columbus,Single,Full Time,69325,2013-10-04,,113,,,1
3898276858,Sales,Business Development,1156108958,2833600446,5895467214,,Individual Contributor,Male,Heterosexual,Caucasian,33,Bachelor's degree,Remote,San Diego,Married,Full Time,68503,2017-03-25,2018-01-05,10,Involuntary,Performance,0
6339266551,Finance,Auditing,6040188619,4116813820,4168425408,,Individual Contributor,Male,Heterosexual,Asian,57,Bachelor's degree,Remote,San Antonio,Married,Full Time,84739,2020-03-18,,34,,,1
361246074,R&D,Prototyping,1130208036,5601748168,5849401328,,Individual Contributor,Female,Heterosexual,Caucasian,41,Bachelor's degree,On-site,San Francisco,Single,Full Time,71755,2021-07-08,,18,,,1
5993205440,Operations,Project Management,5628270015,4389568583,2301262288,,Individual Contributor,Female,Heterosexual,Caucasian,39,Master's degree,On-site,San Francisco,Single,Full Time,72725,2020-06-17,,31,,,1
5819799119,R&D,Product Design,2201555564,7947217733,5849401328,,Individual Contributor,Female,Heterosexual,Caucasian,37,Bachelor's degree,Remote,San Antonio,Single,Full Time,91483,2021-10-11,,15,,,1
3973904578,Finance,Auditing,1561313151,110290553,3578501127,,Individual Contributor,Male,Heterosexual,Caucasian,30,None,Remote,Chicago,Single,Full Time,91551,2017-08-20,,65,,,1
8314065453,Sales,Sales Operations,7702165060,1121234348,392314791,,Individual Contributor,Male,Heterosexual,Native American,29,Bachelor's degree,Remote,Boston,Single,Full Time,79420,2016-04-25,,82,,,1
8871554550,Operations,Supply Chain,3449673055,,,,Manager,Male,Heterosexual,Caucasian,39,Bachelor's degree,Remote,Indianapolis,Single,Full Time,92416,2021-05-04,,20,,,1
2822300927,Legal,Intellectual Property,5188090596,4742484891,3229784704,,Individual Contributor,Female,Heterosexual,Asian,26,Bachelor's degree,Remote,New York,Married,Full Time,99925,2019-04-18,,45,,,1
4360092616,Operations,Supply Chain,8812097636,676375884,663543865,,Individual Contributor,Female,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Denver,Single,Full Time,78656,2020-08-10,,29,,,1
2948617516,Marketing,Advertising,5117383155,6024727068,5276190212,,Individual Contributor,Female,Heterosexual,Caucasian,20,Bachelor's degree,On-site,Los Angeles,Single,Full Time,82665,2013-08-23,,114,,,1
591222174,Marketing,Advertising,5924407401,4267001398,4859371272,,Individual Contributor,Male,Heterosexual,Hispanic,34,Bachelor's degree,Remote,San Jose,Single,Full Time,68865,2013-03-18,,119,,,1
3204456880,Operations,Project Management,9101536358,8202224131,,,Team Lead,Male,Heterosexual,Asian,26,Bachelor's degree,Remote,Philadelphia,Single,Full Time,79710,2018-09-02,,53,,,1
3218041717,Operations,Logistics,8926008089,3659150070,559970810,,Individual Contributor,Female,Heterosexual,Caucasian,26,Bachelor's degree,Remote,Boston,Single,Full Time,75916,2014-07-30,,103,,,1
6120511381,Operations,Supply Chain,6049097654,9115552212,4189721097,,Individual Contributor,Male,Heterosexual,Caucasian,26,Bachelor's degree,Remote,Jacksonville,Single,Full Time,72528,2017-03-14,,71,,,1
2787955931,Sales,Sales Operations,1692646367,1769266396,9072730468,,Individual Contributor,Female,Heterosexual,Asian,28,Bachelor's degree,On-site,San Francisco,Single,Full Time,63240,2019-09-06,,41,,,1
5387247849,Marketing,Public Relations,94104086,3475296759,231005998,,Individual Contributor,Male,Heterosexual,Caucasian,37,Bachelor's degree,Remote,Boston,Married,Full Time,70472,2019-01-09,,49,,,1
1947588662,Marketing,Public Relations,644186130,4859371272,,,Team Lead,Male,Heterosexual,Caucasian,23,Bachelor's degree,Remote,San Diego,Single,Full Time,86356,2017-04-14,,70,,,1
5827568231,Administration,Travel,2665438652,8857691489,,,Team Lead,Male,Heterosexual,Caucasian,37,Bachelor's degree,Remote,Fort Worth,Single,Full Time,85640,2014-08-21,,102,,,1
3585165862,Software,QA,6684129269,3236303647,3393860506,,Individual Contributor,Female,Heterosexual,Caucasian,30,Bachelor's degree,Remote,Houston,Single,Full Time,104752,2016-04-16,,82,,,1
8093998245,Software,Software Development,8419916288,5967018752,14845113,,Individual Contributor,Male,Heterosexual,Caucasian,39,Bachelor's degree,Remote,Indianapolis,Married,Full Time,80221,2017-01-12,,73,,,1
1119252031,Operations,Logistics,6275008003,2196358610,8202224131,,Individual Contributor,Male,Heterosexual,Caucasian,55,Master's degree,Remote,Washington DC,Married,Full Time,76346,2014-02-01,,109,,,1
6780350776,Sales,Sales Operations,2961673053,3133341668,2262528572,,Individual Contributor,Female,Heterosexual,Caucasian,39,Bachelor's degree,Remote,Charlotte,Single,Full Time,81018,2020-06-05,,31,,,1
1130208036,R&D,Research,4993599457,7489616387,,,Team Lead,Female,Heterosexual,Caucasian,43,Master's degree,Remote,Chicago,Single,Full Time,82622,2021-09-18,,16,,,1
9211032443,Software,QA,905393553,1160841172,14845113,,Individual Contributor,Male,Heterosexual,Caucasian,33,Bachelor's degree,Remote,Dallas,Married,Full Time,81743,2021-09-11,,16,,,1
7702871492,Marketing,Advertising,6942513588,9726191962,2991764088,,Individual Contributor,Female,Heterosexual,Caucasian,28,Bachelor's degree,Remote,Houston,Single,Full Time,96185,2018-01-10,2019-12-18,24,Voluntary,Better salary,0
5574046060,Procurement,Vendor Management,6857398043,461150425,5427032276,,Individual Contributor,Male,Heterosexual,African American,30,Bachelor's degree,On-site,Los Angeles,Single,Full Time,62471,2015-12-13,,86,,,1
6205824784,Procurement,Supply Chain,753727511,6608504776,2575449602,,Individual Contributor,Male,Heterosexual,Caucasian,37,Bachelor's degree,On-site,San Francisco,Single,Full Time,58141,2021-10-26,,15,,,1
3684893744,Customer Service,Technical Support,5312546506,606250271,8780882161,,Individual Contributor,Male,Heterosexual,Caucasian,24,Bachelor's degree,Remote,Austin,Single,Full Time,77458,2017-12-27,2021-12-05,48,Involuntary,Performance,0
5154451655,Marketing,Public Relations,2526552583,4122646892,4859371272,,Individual Contributor,Male,Heterosexual,Caucasian,30,Bachelor's degree,Remote,Denver,Married,Full Time,90191,2014-03-05,,108,,,1
1462015104,Software,QA,,,,,Director,Male,Heterosexual,Caucasian,28,None,Remote,Austin,Single,Full Time,103400,2020-11-11,,26,,,1
1157251187,HR,Recruiting,6650587854,1736374842,7040762887,,Individual Contributor,Male,Heterosexual,Caucasian,65,Bachelor's degree,Remote,Jacksonville,Married,Full Time,71662,2015-01-24,,97,,,1
9142554920,Product Development,Product Management,3972602971,7722619438,1972314523,,Individual Contributor,Male,Heterosexual,African American,23,Bachelor's degree,Remote,Dallas,Single,Full Time,75199,2013-01-17,,121,,,1
5639488008,HR,Recruiting,2509046989,,,,Manager,Male,Heterosexual,Caucasian,36,Bachelor's degree,Remote,Indianapolis,Single,Full Time,71846,2013-01-17,,121,,,1
2450604040,Sales,Business Development,4822438725,2101054882,347221121,,Individual Contributor,Female,Heterosexual,Hispanic,36,Bachelor's degree,Remote,New York,Single,Full Time,75658,2012-08-02,,127,,,1
2686930806,Software,Software Development,5454612429,3889758879,4520267703,,Individual Contributor,Female,Heterosexual,Caucasian,40,Bachelor's degree,Remote,Charlotte,Single,Full Time,104565,2015-10-13,,88,,,1
2172982802,R&D,Prototyping,2423137247,7182803733,4188423400,,Individual Contributor,Male,Heterosexual,Asian,36,Master's degree,Remote,Fort Worth,Single,Full Time,78376,2021-01-19,,24,,,1
8783665994,Marketing,Advertising,4554270419,5618664332,3903624224,,Individual Contributor,Male,Heterosexual,Caucasian,31,Master's degree,On-site,Los Angeles,Single,Full Time,74628,2020-03-14,,34,,,1
7660468177,Product Development,Project Management,6988050423,7680379570,1277352617,,Individual Contributor,Female,Heterosexual,Caucasian,39,Bachelor's degree,Remote,Dallas,Single,Full Time,72046,2020-07-31,2021-04-01,8,Voluntary,More flexible benefits,0
9738256358,Software,Software Development,6850621111,5490182095,14845113,,Individual Contributor,Male,Heterosexual,Caucasian,36,Bachelor's degree,Remote,Indianapolis,Single,Full Time,90846,2016-12-17,,74,,,1
9596644959,Procurement,Vendor Management,6128569915,5427032276,,,Team Lead,Female,Heterosexual,Caucasian,35,Bachelor's degree,Remote,San Francisco,Single,Full Time,84236,2012-05-23,,129,,,1
1563262575,Sales,Business Development,4121859567,8687531220,8913009291,,Individual Contributor,Female,Heterosexual,Caucasian,32,Bachelor's degree,On-site,San Francisco,Single,Full Time,73618,2020-10-18,,27,,,1
6706106358,HR,Training,9349321758,2412885866,7133405098,,Individual Contributor,Other,Other,Caucasian,37,Bachelor's degree,Remote,Indianapolis,Married,Full Time,85822,2015-03-23,2016-01-29,10,Voluntary,More flexible benefits,0
4565488763,Marketing,Advertising,8823749678,7748671897,594359533,,Individual Contributor,Female,Heterosexual,Caucasian,24,Bachelor's degree,Remote,Austin,Single,Full Time,79876,2013-02-14,,120,,,1
6108726979,Customer Service,Customer Support,,,,,Director,Male,Heterosexual,Caucasian,23,Bachelor's degree,Remote,Fort Worth,Single,Full Time,97109,2016-01-04,,85,,,1
6628599714,Marketing,Public Relations,763765194,3766701844,2991764088,,Individual Contributor,Female,Heterosexual,Caucasian,34,Bachelor's degree,Remote,Dallas,Single,Full Time,90510,2017-06-12,,68,,,1
790790197,Product Development,Project Management,2846495853,9494917590,1277352617,,Individual Contributor,Male,Heterosexual,Caucasian,32,Bachelor's degree,Remote,Chicago,Single,Full Time,95388,2018-10-14,,51,,,1
7445686386,Marketing,Marketing Research,5093678260,5717339582,5276190212,,Individual Contributor,Male,Heterosexual,Caucasian,33,Bachelor's degree,Remote,Fort Worth,Single,Full Time,86695,2020-04-30,,33,,,1
1246745695,Finance,Accounting,8205401413,4621488307,3197062390,,Individual Contributor,Male,Heterosexual,Native American,37,Bachelor's degree,On-site,San Francisco,Single,Full Time,80425,2015-08-15,,90,,,1
2556150761,Customer Service,Account Management,2342653716,8780882161,,,Team Lead,Female,Heterosexual,Caucasian,26,Bachelor's degree,Remote,Jacksonville,Single,Full Time,62354,2014-12-19,,98,,,1
1266457431,Software,QA,4206485924,7030747863,3048449241,,Individual Contributor,Female,Heterosexual,Hispanic,35,Bachelor's degree,Remote,Charlotte,Single,Full Time,87048,2016-04-14,,82,,,1
9425228485,Software,Technical Support,1390112127,7912234488,2724221678,,Individual Contributor,Male,Heterosexual,Caucasian,37,Bachelor's degree,Remote,Dallas,Single,Full Time,83698,2018-11-12,,50,,,1
2158433656,Sales,Business Development,1452795930,9866356652,9830301175,,Individual Contributor,Female,Heterosexual,Caucasian,56,Bachelor's degree,Remote,New York,Married,Full Time,66661,2019-12-26,,37,,,1
9965951548,HR,Benefits,2509046989,,,,Manager,Male,Heterosexual,Caucasian,54,Bachelor's degree,Remote,Charlotte,Married,Full Time,90204,2018-10-22,,51,,,1
1470322966,Product Development,Project Management,6733189869,2982150690,296297700,,Individual Contributor,Male,Heterosexual,Caucasian,36,Bachelor's degree,On-site,Los Angeles,Married,Full Time,72250,2019-12-12,,37,,,1
3610691056,Operations,Project Management,1755613213,4389568583,3449673055,,Individual Contributor,Male,Heterosexual,Caucasian,41,Master's degree,Remote,Seattle,Single,Full Time,65318,2012-06-06,,129,,,1
902093553,Software,Software Development,1984085831,200080042,3048449241,,Individual Contributor,Male,Heterosexual,Caucasian,40,Bachelor's degree,Remote,San Francisco,Single,Full Time,86557,2020-04-28,,33,,,1
9909505065,Finance,Accounting,1195757812,7383587295,4820449671,,Individual Contributor,Male,Heterosexual,African American,35,Bachelor's degree,On-site,Los Angeles,Single,Full Time,66184,2016-06-22,,80,,,1
9922913587,Software,Software Development,4810642413,1829745728,2491421916,,Individual Contributor,Female,Heterosexual,Caucasian,24,Bachelor's degree,Remote,Chicago,Married,Full Time,96715,2012-09-08,,126,,,1
7035969595,Software,Software Development,4520267703,,,,Manager,Male,Heterosexual,Caucasian,36,Bachelor's degree,Remote,San Francisco,Married,Full Time,90174,2020-04-09,,33,,,1
496558320,Marketing,Advertising,4631110883,6380679243,4230864073,,Individual Contributor,Male,Heterosexual,Caucasian,36,Bachelor's degree,On-site,San Francisco,Single,Full Time,92343,2015-06-20,,92,,,1
7983307927,Software,Technical Support,1433975231,1160841172,3048449241,,Individual Contributor,Male,Heterosexual,Caucasian,23,Bachelor's degree,Remote,San Antonio,Single,Full Time,81925,2019-12-27,,37,,,1
5584211328,Sales,Account Management,8913009291,,,,Manager,Male,Heterosexual,Asian,24,Bachelor's degree,Remote,Seattle,Married,Full Time,82618,2017-10-19,,63,,,1
5696769462,Software,Software Development,2865338159,,,,Manager,Male,Heterosexual,Caucasian,30,Bachelor's degree,Remote,Phoenix,Single,Full Time,117801,2020-03-23,,34,,,1
6177470540,Software,QA,7028383983,3215405488,1696261601,,Individual Contributor,Female,Heterosexual,Caucasian,40,Bachelor's degree,Remote,Chicago,Single,Full Time,85193,2017-08-12,,66,,,1
1214398377,HR,Benefits,6771882600,5079765737,3438125557,,Individual Contributor,Female,Heterosexual,Caucasian,41,Bachelor's degree,Remote,Seattle,Married,Full Time,74991,2021-06-13,,19,,,1
1632664110,Software,Software Development,2164356612,2740827756,9734132771,,Individual Contributor,Female,Heterosexual,Caucasian,25,Bachelor's degree,Remote,Dallas,Single,Full Time,103413,2016-05-23,,81,,,1
9031490595,R&D,Prototyping,9048682540,3788777976,5849401328,,Individual Contributor,Male,Heterosexual,Caucasian,37,Bachelor's degree,On-site,San Francisco,Single,Full Time,91239,2017-12-04,,62,,,1
3469363890,Marketing,Marketing Research,5920519539,3766701844,5437575890,,Individual Contributor,Male,Heterosexual,Caucasian,36,Master's degree,On-site,San Francisco,Single,Full Time,81293,2020-11-29,,26,,,1
1182076679,Operations,Logistics,4530416323,9101536358,7697149104,,Individual Contributor,Female,Heterosexual,Hispanic,40,Bachelor's degree,Remote,Denver,Single,Full Time,61588,2012-09-11,,126,,,1
7159779416,Finance,Financial Planning,3075701480,7154466556,9912059236,,Individual Contributor,Male,Heterosexual,Caucasian,41,Master's degree,Remote,Indianapolis,Single,Full Time,70098,2013-06-24,,116,,,1
8884240431,Software,Technical Support,7955922995,211024136,3048449241,,Individual Contributor,Male,Gay,Caucasian,36,Bachelor's degree,Remote,Columbus,Single,Full Time,108179,2015-03-18,,95,,,1
8053019289,Sales,Sales Operations,6785078915,587062289,3868375509,,Individual Contributor,Male,Heterosexual,Caucasian,38,Bachelor's degree,Remote,Jacksonville,Single,Full Time,89812,2013-10-25,2017-09-27,48,Voluntary,More flexible benefits,0
9821666103,Software,Technical Support,1905212211,8085782586,2724221678,,Individual Contributor,Male,Heterosexual,Asian,30,Bachelor's degree,Remote,Austin,Married,Full Time,107936,2014-05-21,,105,,,1
3324925620,Software,Software Development,9200951144,3278616831,,,Team Lead,Male,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Fort Worth,Single,Full Time,96884,2017-01-12,,73,,,1
647480349,Software,QA,5967018752,14845113,,,Team Lead,Female,Heterosexual,Caucasian,20,Bachelor's degree,Remote,Charlotte,Single,Full Time,94905,2017-09-01,2019-06-08,22,Voluntary,Personal reasons,0
4375331608,Marketing,Public Relations,8978327887,5276190212,,,Team Lead,Male,Heterosexual,Caucasian,36,Bachelor's degree,Remote,San Antonio,Single,Full Time,79707,2019-06-24,,43,,,1
3852499654,Operations,Logistics,6743992745,7697149104,,,Team Lead,Female,Heterosexual,Caucasian,59,Bachelor's degree,On-site,San Francisco,Married,Full Time,85235,2018-03-27,,58,,,1
4022601420,Sales,Sales Operations,8369294921,2333229595,8913009291,,Individual Contributor,Male,Heterosexual,Caucasian,29,Bachelor's degree,Remote,Dallas,Single,Full Time,81536,2013-06-19,,116,,,1
6209174398,Software,QA,7269509547,2865338159,,,Team Lead,Male,Heterosexual,Caucasian,20,Bachelor's degree,Remote,Denver,Single,Full Time,84728,2019-12-17,,37,,,1
6002015787,Sales,Sales Operations,132833397,195855522,6897889572,,Individual Contributor,Male,Heterosexual,Caucasian,53,Bachelor's degree,Remote,Denver,Married,Full Time,85131,2021-03-30,,22,,,1
8931087463,Administration,Travel,3847462396,9795504216,8857691489,,Individual Contributor,Male,Heterosexual,Caucasian,33,Bachelor's degree,On-site,Dallas,Single,Full Time,63304,2021-01-16,,24,,,1
4793101283,R&D,Prototyping,3082902832,3788777976,4188423400,,Individual Contributor,Female,Heterosexual,Caucasian,34,Master's degree,Remote,Austin,Single,Full Time,92771,2018-04-06,2020-02-07,22,Involuntary,Termination for cause,0
706180556,Marketing,Public Relations,5516411117,6909331537,9339673820,,Individual Contributor,Female,Heterosexual,Caucasian,30,Master's degree,Remote,Dallas,Single,Full Time,75152,2020-07-04,,30,,,1
6415055798,Software,Software Development,3324925620,4166259554,5539617772,,Individual Contributor,Male,Heterosexual,Caucasian,32,Bachelor's degree,Remote,Denver,Married,Full Time,104797,2020-01-28,,36,,,1
9667545536,Finance,Financial Planning,2733257118,2452767308,4168425408,,Individual Contributor,Female,Heterosexual,Caucasian,42,Master's degree,Remote,Fort Worth,Single,Full Time,71888,2014-04-21,,106,,,1
5007249924,Marketing,Public Relations,5125594800,3475296759,231005998,,Individual Contributor,Male,Heterosexual,Caucasian,21,Bachelor's degree,Remote,Indianapolis,Single,Full Time,93986,2014-05-21,2015-03-04,10,Voluntary,Better salary,0
270097871,Product Development,Product Management,8112590374,9226371429,296297700,,Individual Contributor,Female,Heterosexual,Caucasian,37,Master's degree,Remote,Houston,Married,Full Time,76409,2018-11-08,,51,,,1
240290667,Sales,Account Management,8934287810,799445342,347221121,,Individual Contributor,Female,Heterosexual,Caucasian,33,Bachelor's degree,Remote,San Francisco,Single,Full Time,65726,2017-08-14,,66,,,1
2825011701,Administration,Facilities,6302554516,8718689691,2400560585,,Individual Contributor,Female,Heterosexual,Asian,35,Bachelor's degree,On-site,Los Angeles,Married,Full Time,73114,2017-10-07,2020-03-26,30,Voluntary,Found a better opportunity,0
1521059108,Legal,Intellectual Property,906213508,9825402532,,,Team Lead,Male,Heterosexual,Caucasian,34,Bachelor's degree,On-site,Los Angeles,Married,Full Time,94711,2015-02-03,2017-02-14,25,Voluntary,Personal reasons,0
7613123411,Sales,Sales Operations,8086731118,1121234348,2262528572,,Individual Contributor,Male,Heterosexual,African American,25,Bachelor's degree,Remote,Seattle,Married,Full Time,61167,2015-06-09,,92,,,1
9938747514,Sales,Sales Operations,1088698099,2342423041,,,Team Lead,Male,Heterosexual,Caucasian,37,None,Remote,Philadelphia,Single,Contract,80323,2021-01-05,,24,,,1
8296767731,Software,QA,7461121461,6491854768,3048449241,,Individual Contributor,Male,Heterosexual,Hispanic,36,Bachelor's degree,Remote,Jacksonville,Married,Full Time,78200,2020-09-15,,28,,,1
9594328921,Operations,Supply Chain,1164415789,3449673055,,,Team Lead,Male,Heterosexual,Caucasian,43,Bachelor's degree,Remote,Seattle,Married,Full Time,83637,2017-11-22,,62,,,1
2875289597,Marketing,Marketing Research,7664988217,6016385042,8972810842,,Individual Contributor,Female,Heterosexual,Caucasian,39,Bachelor's degree,Remote,Dallas,Married,Full Time,66910,2013-01-23,,121,,,1
7783321943,Operations,Supply Chain,9279620507,,,,Manager,Female,Heterosexual,Caucasian,41,Bachelor's degree,Remote,San Antonio,Single,Full Time,106936,2012-04-04,,131,,,1
2554100174,Marketing,Advertising,6942513588,6748265494,5276190212,,Individual Contributor,Female,Heterosexual,African American,62,Bachelor's degree,Remote,San Jose,Married,Full Time,62788,2012-11-17,,123,,,1
